State,County,Life Expectancy,Population,% Rural,Premature Deaths,% Smoking,% Obesity,% Physical Inactivy,% Excessive Drinking,% Uninsured,PCP Number,PCP Rate,MHP Number,MHP Rate,Preventable Hospital Rate,% Mammogram,% Flu Vaccine,% Unemployed,Median Household Income
Alabama,Autauga,77.162581316,55869,22921,787.0,20,33,31,14,10.0,26.0,47.0,16.0,29.0,6650.0,39.0,42.0,"2,7",58233
Alabama,Baldwin,78.213404894,223234,77060,3147.0,19,30,25,19,13.0,153.0,70.0,220.0,99.0,3471.0,43.0,46.0,"2,7",59871
Alabama,Barbour,74.05474119,24686,18613,515.0,26,41,28,12,14.0,8.0,32.0,3.0,12.0,5314.0,44.0,39.0,"3,8",35972
Alabama,Bibb,73.408783662,22394,15663,476.0,23,37,33,15,11.0,12.0,54.0,6.0,27.0,6690.0,33.0,40.0,"3,1",47918
Alabama,Blount,74.370873779,57826,51562,1100.0,23,33,33,16,14.0,12.0,21.0,10.0,17.0,4440.0,37.0,40.0,"2,7",52902
Alabama,Bullock,74.44035871,10101,5607,189.0,25,47,42,12,12.0,3.0,30.0,3.0,30.0,5645.0,32.0,29.0,"3,6",31906
Alabama,Butler,74.153846183,19448,14921,398.0,23,47,40,13,12.0,5.0,25.0,11.0,57.0,8070.0,39.0,35.0,"3,6",39944
Alabama,Calhoun,73.45688939,113605,39955,2340.0,21,40,31,14,11.0,73.0,64.0,139.0,122.0,5879.0,33.0,40.0,"3,5",47747
Alabama,Chambers,75.022109614,33254,16816,635.0,23,42,29,14,12.0,14.0,42.0,1.0,3.0,5784.0,36.0,43.0,"2,9",42015
Alabama,Cherokee,74.47838936,26196,22282,571.0,24,38,30,16,13.0,10.0,38.0,6.0,23.0,5178.0,35.0,50.0,"2,9",45982
Alabama,Chilton,74.90765973,44428,37858,814.0,23,42,33,15,16.0,10.0,23.0,24.0,54.0,3869.0,38.0,42.0,"2,7",49692
Alabama,Choctaw,74.708876488,12589,13859,262.0,23,47,34,14,13.0,5.0,39.0,1.0,8.0,5039.0,48.0,34.0,"4,7",39808
Alabama,Clarke,74.563341305,23622,19628,447.0,24,36,41,14,13.0,13.0,54.0,17.0,72.0,5206.0,36.0,30.0,"5,8",43822
Alabama,Clay,74.899592181,13235,13932,260.0,25,37,34,16,16.0,5.0,38.0,2.0,15.0,6054.0,36.0,44.0,"3,0",40562
Alabama,Cleburne,74.417290324,14910,14972,303.0,24,34,26,16,14.0,3.0,20.0,8.0,54.0,4838.0,27.0,41.0,"3,2",51276
Alabama,Coffee,76.444139856,52342,23573,812.0,21,37,32,16,13.0,24.0,46.0,40.0,76.0,4561.0,40.0,38.0,"2,9",57299
Alabama,Colbert,74.625608269,55241,23891,1086.0,22,37,35,16,11.0,35.0,64.0,20.0,36.0,6521.0,40.0,47.0,"3,7",46683
Alabama,Conecuh,73.088961569,12067,10708,302.0,26,42,43,13,12.0,5.0,41.0,7.0,58.0,12212.0,35.0,45.0,"4,0",41539
Alabama,Covington,73.72812936,37049,26304,807.0,23,36,37,15,12.0,18.0,49.0,26.0,70.0,9451.0,40.0,40.0,"3,4",44836
Alabama,Crenshaw,74.398472262,13772,13906,297.0,23,35,34,14,13.0,2.0,14.0,9.0,65.0,7005.0,41.0,40.0,"2,8",43309
Alabama,Cullman,74.470979069,83768,58889,1516.0,23,36,34,15,14.0,44.0,53.0,124.0,148.0,6117.0,44.0,44.0,"2,6",50897
Alabama,Dale,75.342337684,49172,25572,860.0,21,42,32,16,11.0,10.0,20.0,47.0,96.0,4863.0,41.0,42.0,"3,1",45120
Alabama,Dallas,72.229068696,37196,19999,859.0,25,42,33,12,11.0,29.0,76.0,23.0,62.0,7664.0,43.0,36.0,"5,5",34034
Alabama,DeKalb,74.513458495,71513,64091,1284.0,25,30,33,13,19.0,28.0,39.0,19.0,27.0,5915.0,35.0,44.0,"2,8",44277
